Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM,Loss_Ratio,Learning_Rate
1,0.974955696158939,0.018296844792862733,0.33962962598850327,0.31832364149060516,24.21528565493423,0.8661809011741921,0.018766847421833977,0.001
2,0.9984619390699598,0.0061832331820494595,0.1419171293375459,0.1410179008746353,26.11078652213746,0.898031066082142,0.006192758021211077,0.001
3,0.9999306074778239,0.005283775207069185,0.007880348477088465,0.007930846584642808,25.38004068469069,0.912005024044602,0.00528414188700226,0.001
4,1.000000324567159,0.004829195880434579,1.8279391244160916e-07,5.137686713792689e-07,26.298036997488392,0.9146450563713356,0.004829194313036701,0.001
5,1.0000000014834933,0.0044003217762543095,2.839562859533622e-07,2.846701717071458e-07,27.605404613931967,0.9180694844987657,0.004400321769726462,0.001
6,0.9999999340905084,0.004243851702246401,1.378224928555181e-07,9.624122105004333e-08,26.972582708732688,0.9176240029158416,0.004243851981956527,0.001
7,1.000000014199151,0.00412438801717427,1.1254702655873619e-07,9.742705697948657e-08,27.487455988218912,0.921664094041895,0.004124387958611463,0.001
8,0.9999997753567166,0.00407501756772399,4.809983784471423e-07,1.9137382247317962e-07,27.201577382142254,0.9210859457651774,0.004075018483149522,0.001
9,0.9999992934332954,0.003989679021553861,1.0694267288002723e-06,2.548392956996518e-07,26.64660708076592,0.8552309923701816,0.003989681840530211,0.001
10,1.0000000036027696,0.0039043207849479384,6.327621646080861e-08,6.001019367906994e-08,28.0290515622478,0.9261837495697869,0.00390432077088157,0.001
11,0.9999999574025472,0.003823230958233277,1.315562505154158e-07,8.948334590271287e-08,28.32686786576632,0.918210423875738,0.003823231121093184,0.001
12,0.9999995748731825,0.0037605642258293098,6.232038726116629e-07,2.1997903761942732e-07,27.170646798549434,0.9226067763787729,0.003760565824546691,0.001
13,0.9999999641842312,0.0036686207132620944,2.3788710569265746e-07,2.2442658222509797e-07,28.218044108052535,0.9271551246996279,0.0036686208446565704,0.001
14,0.9999919952816433,0.003614059237142404,2.126791417483115e-05,1.8756006289601403e-05,28.73805339014592,0.9276039794639305,0.003614088166900296,0.001
15,0.9999595591227214,0.0036020826804969044,9.466310788114743e-05,3.7474576681717354e-05,28.75034720006035,0.9276395868372034,0.0036022283577718506,0.001
16,1.0000003634558783,0.0035407359426220257,1.9710474170642847e-07,3.6335677123200384e-07,28.795446597388803,0.929222434538382,0.0035407346557212015,0.001
17,1.0000000012715657,0.0034813300021406678,3.0020926568305307e-09,6.840905492775523e-09,28.381633184440762,0.9261421751092982,0.003481329997713928,0.001
18,0.9999999800258212,0.0034975012093782427,2.4075571278633525e-08,6.2853472305566825e-09,28.81870327797193,0.9312490913603041,0.0034975012792379584,0.001
19,1.0000000307295058,0.003479079849397143,1.255445705734494e-07,1.6494030005739926e-07,27.79139507535909,0.9258853877032245,0.0034790797424867417,0.001
20,1.0,0.00345115009157194,5.645551690982179e-09,6.6546933363886865e-09,28.918881030512196,0.9296802070405749,0.00345115009157194,0.001
