Epoch,d_loss,g_loss,d_score,g_score,psnr,ssim,loss_ratio,learning_rate,flops_G,params_G,flops_D,params_D
1,0.9976441786215478,0.007139641701426242,0.06092937652928446,0.05857355554255873,8.400345428169008,0.514529218574365,0.007156501139806316,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
2,0.99999998682553,0.026235892900947442,5.274360326213924e-08,3.957543088102586e-08,29.60393725169615,0.8612741408745448,0.02623589324659143,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
3,1.0000000020154973,0.002111398923047578,4.637916278337861e-08,4.895860725511933e-08,30.451148933585003,0.902452120979627,0.0021113989187920594,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
4,1.0000000280203278,0.0018159725467588022,1.7747469969122903e-07,2.0622168343759733e-07,31.132119774992994,0.9078833464781443,0.0018159724958746574,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
5,0.9999999988939344,0.0017755994186304587,7.163976857567634e-08,7.140407133294603e-08,31.313087420299446,0.9167667619387309,0.0017755994205943882,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
6,1.0000000092172132,0.0016317932137777818,9.757518224301048e-08,1.0753239391392235e-07,31.982444315814348,0.91874611834685,0.001631793198737196,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
7,1.0,0.0016083247517475609,3.1548608740491646e-11,3.1073909739997725e-11,32.40885502642836,0.9200461763143539,0.0016083247517475609,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
8,1.0,0.0015680928797624314,4.215423444176866e-11,4.109746428511028e-11,32.812795689388295,0.9186702106396357,0.0015680928797624314,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
9,1.0,0.00157499443461216,3.409583008963605e-11,3.5766426537555226e-11,32.34548653371212,0.9225231742858887,0.00157499443461216,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
10,1.0,0.0015417676995575582,2.7063598791419334e-11,2.634779197783826e-11,32.16117010860118,0.9237345852454504,0.0015417676995575582,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
11,1.0,0.0015124040834855327,4.168078174398279e-11,3.9400661487230546e-11,32.6328242626485,0.9257619855801265,0.0015124040834855327,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
12,1.0,0.0015518856101870997,3.6851682733986046e-11,3.697672031804552e-11,33.065226081381,0.9261600182453791,0.0015518856101870997,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
13,1.0,0.0015022121215738434,4.036603647071663e-11,4.0085872718182883e-11,33.198574916939975,0.9274477215607961,0.0015022121215738434,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
14,1.0,0.0014806505901374153,3.7984986456024106e-11,3.7260029030789284e-11,32.37100608658614,0.9291228526830673,0.0014806505901374153,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
15,1.0,0.0015885661546256125,5.182408459280286e-11,5.1289734950206913e-11,33.08709369104113,0.9290611066420873,0.0015885661546256125,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
16,1.0,0.0014795676352379401,7.961752271353756e-11,7.856068518326855e-11,31.849093924365558,0.9271403380235036,0.0014795676352379401,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
17,1.0,0.0014759404149348127,5.147004627066052e-11,5.325084441054638e-11,33.18513848643799,0.9280872750282287,0.0014759404149348127,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
18,1.0,0.0014731404852102866,5.1372918942334374e-11,5.083020416699072e-11,33.32885176335767,0.9332126613457997,0.0014731404852102866,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
19,1.0,0.0014621325257263079,4.799750972136052e-11,4.711514486512043e-11,33.191540707398914,0.930420539577802,0.0014621325257263079,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
20,1.0,0.0014633910318106874,7.781977566836214e-11,7.791792399116537e-11,33.14954506976571,0.9286216841141383,0.0014633910318106874,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
21,1.0,0.001442683128323214,4.9814724870108236e-11,4.9106755609088486e-11,33.40932894304093,0.9287661310036978,0.001442683128323214,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
22,1.0,0.001445395545985972,8.992454790938738e-11,9.055387404714826e-11,33.6806116099817,0.9332478938500086,0.001445395545985972,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
23,1.0,0.0014434073864453539,6.61517693434544e-11,6.581571227904916e-11,33.625201299177434,0.9340828164418539,0.0014434073864453539,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
24,1.0,0.0014373669859271535,1.1464727127735682e-10,1.1709149903342838e-10,34.10457261439654,0.9362446703513463,0.0014373669859271535,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
25,1.0,0.0014348993364951966,6.594651914342675e-11,6.55847605139715e-11,32.97583138494063,0.9339042139053345,0.0014348993364951966,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
26,1.0,0.001461649490040295,4.4708872937046465e-11,4.4892783393600366e-11,33.9460763848798,0.9315717194477717,0.001461649490040295,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
27,1.0,0.0014308126386946317,7.731731825054364e-11,7.664074335590841e-11,33.9071062577657,0.9356127176682154,0.0014308126386946317,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
28,1.0,0.0014254178264725607,6.832624984503976e-11,7.598795770939598e-11,33.896210169710265,0.9368753699461619,0.0014254178264725607,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
29,1.0,0.0014327506152144874,2.8832820675054868e-11,2.8702657468785672e-11,34.110287980002965,0.9351217498381933,0.0014327506152144874,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
30,1.0,0.0014295312784343343,2.0741380426988144e-11,2.0763187121643177e-11,34.30165660968788,0.9362634907166163,0.0014295312784343343,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
31,1.0,0.0014239050015883961,3.5044328956285257e-11,3.395647947261788e-11,34.228335870133215,0.9376818988720576,0.0014239050015883961,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
32,1.0,0.0014236069951187244,3.2458463904785374e-11,3.2122153077723374e-11,33.85987193572958,0.9348063808679581,0.0014236069951187244,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
33,1.0,0.0014095706043803355,2.7049428660809526e-11,2.6790822720809433e-11,34.48518965500981,0.9403908167282741,0.0014095706043803355,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
34,1.0,0.0014064142791573534,3.482823736258905e-11,3.584530828909145e-11,34.41436567654141,0.9373948299884796,0.0014064142791573534,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
35,1.0,0.0014176310774553374,4.3206472806353146e-11,4.1264122703409826e-11,34.4173737762572,0.9374607614676158,0.0014176310774553374,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
36,1.0,0.0013994056693537487,3.973459776641495e-11,3.9248223259693e-11,34.413684440870476,0.9385447575648626,0.0013994056693537487,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
37,1.0,0.0014087251736062396,4.190995747286393e-11,4.063256806722985e-11,34.01253392851697,0.934316379626592,0.0014087251736062396,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
38,1.0,0.0014406984265336825,3.175034900821599e-11,3.2354242920312965e-11,34.47203535661848,0.9372233736515045,0.0014406984265336825,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
39,1.0,0.00138760278596706,3.887346338761363e-11,3.908565120354806e-11,34.53202231575082,0.9375751769542694,0.00138760278596706,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
40,0.9999999999754208,0.0013958275336388153,5.543417125220418e-11,5.404492784775677e-11,32.13204411303679,0.93664610962073,0.0013958275336731236,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
41,1.0,0.001404274820983794,4.8580607614312936e-11,4.9938954155009196e-11,34.254886801187325,0.9398118895292282,0.001404274820983794,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
42,1.0,0.0013955756441507603,4.4319798002995604e-11,4.4840194018478755e-11,34.7254237737802,0.9390650969743729,0.0013955756441507603,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
43,1.0,0.001400484085303837,3.666460839203882e-11,3.6404573224760484e-11,34.484392754862824,0.9390284226338068,0.001400484085303837,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
44,1.0,0.0013931094209865197,6.694760040651699e-11,6.505223293990706e-11,34.782760388141455,0.9388903327782949,0.0013931094209865197,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
45,1.0,0.0013873272917243008,8.905408253510613e-11,8.715268396352966e-11,34.77872558803541,0.9411011157433192,0.0013873272917243008,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
46,1.0,0.0013925204969001646,8.393443050930172e-11,8.458659500562734e-11,34.458260787869804,0.938935640056928,0.0013925204969001646,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
47,1.0,0.0013893290982130416,8.3946221633361e-11,8.28470564757718e-11,34.60757748530456,0.9418283450603485,0.0013893290982130416,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
48,1.0,0.0016857124943785446,1.0843654886163543e-10,9.958661504839616e-11,34.332857067950314,0.9343360225359599,0.0016857124943785446,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
49,1.0,0.001379298761333387,4.867937942066288e-10,4.778274095875279e-10,34.67581714674104,0.9381667375564575,0.001379298761333387,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
50,1.0,0.001363375609231748,4.057921788071133e-09,4.058715756786681e-09,35.0309502392446,0.94159363925457,0.001363375609231748,0.001,2732950528.0,734219.0,2975418368.0,5215425.0
