Epoch,d_loss,g_loss,d_score,g_score,psnr,ssim,loss_ratio,learning_rate
1,1.0004295680999755,0.002309667854756117,0.7310202371591811,0.7314498054440992,0,0,0.0023086761211412996,0.001
2,1.0012335488319397,0.0010909558288753033,0.775022696363926,0.7762562459945679,0,0,0.0010896117395866683,0.001
3,1.0006022078037262,0.0008963251968729309,0.8280404112577439,0.8286426191329956,0,0,0.0008957857477051961,0.001
4,1.0013035597085953,0.0008470202521246392,0.7765754442691803,0.7778790040016175,0,0,0.0008459175480921526,0.001
5,1.0018599469661713,0.0007833796427876222,0.800639911031723,0.8024998580932617,0,0,0.0007819253031921774,0.001
6,1.0005703163146973,0.0014153677319089183,0.15038432157804046,0.15095463819106927,0,0,0.0014145609847012088,0.001
7,1.0002586230516435,0.0012915095844073222,0.25735847347875423,0.2576170971021535,0,0,0.0012911756566187996,0.001
8,1.0020292798519135,0.0007935507203743327,0.8041641040563583,0.80619338388443,0,0,0.0007919436450914976,0.001
9,1.0011526246309281,0.0008377392173715635,0.7805791951417923,0.7817318197488785,0,0,0.0008367747302069886,0.001
10,1.0010213259220124,0.0009271746461687144,0.6896009944558144,0.6906223202347755,0,0,0.0009262286648236191,0.001
11,1.0014053844690323,0.0009644955596246291,0.6124322426199913,0.6138376270413399,0,0,0.0009631419748516994,0.001
12,1.0006202241897584,0.000807658908556914,0.7346187656641007,0.7352389899730682,0,0,0.0008071582894608264,0.001
13,1.0006694407463075,0.0009220039474690566,0.7763180374860763,0.7769874782085419,0,0,0.0009213871333788493,0.001
14,0.9999053181886673,0.0007544564095092937,0.780448708486557,0.7803540266513824,0,0,0.0007545278495727922,0.001
15,0.9998687034130096,0.0009926786823460133,0.7532884321451188,0.7531571355819702,0,0,0.0009928090347838137,0.001
16,1.0006171503067016,0.001133373774716165,0.5026936504602433,0.5033108008682727,0,0,0.0011326747441504194,0.001
17,1.0,0.0015135484873782844,2.4698357787663813e-27,1.3839992933010176e-20,0,0,0.0015135484873782844,0.001
18,1.0,0.001495737705891952,3.859939272857649e-36,1.2173436024500534e-35,0,0,0.001495737705891952,0.001
19,1.0,0.001485076829092577,8.930076299563373e-37,1.0989804056425574e-36,0,0,0.001485076829092577,0.001
20,1.0,0.0014887348274700344,7.236640215020642e-18,1.7789616351196593e-17,0,0,0.0014887348274700344,0.001
